,no rank,superkingdom,genus,species,order,phylum,class,family,strain,forma specialis,clade,subphylum,suborder,subspecies,species group,species subgroup,subfamily,subgenus,serogroup,serotype,biotype,tribe,subclass,isolate,pathogroup
573737,cellular organisms,Bacteria,Pandoraea,Pandoraea oxalativorans,Burkholderiales,Proteobacteria,Betaproteobacteria,Burkholderiaceae,,,,,,,,,,,,,,,,,
1224163,cellular organisms,Bacteria,Corynebacterium,Corynebacterium maris,Corynebacteriales,Actinobacteria,Actinobacteria,Corynebacteriaceae,Corynebacterium maris DSM 45190,,Terrabacteria group,,,,,,,,,,,,,,
452638,cellular organisms,Bacteria,Polynucleobacter,Polynucleobacter necessarius,Burkholderiales,Proteobacteria,Betaproteobacteria,Burkholderiaceae,Polynucleobacter necessarius STIR1,,,,,,,,,,,,,,,,
576610,cellular organisms,Bacteria,Polynucleobacter,Polynucleobacter necessarius,Burkholderiales,Proteobacteria,Betaproteobacteria,Burkholderiaceae,,,,,,,,,,,,,,,,,
312153,cellular organisms,Bacteria,Polynucleobacter,Polynucleobacter asymbioticus,Burkholderiales,Proteobacteria,Betaproteobacteria,Burkholderiaceae,Polynucleobacter asymbioticus QLW-P1DMWA-1,,,,,,,,,,,,,,,,
522448,cellular organisms,Bacteria,Euhalothece,Euhalothece natronophila,Chroococcales,Cyanobacteria,,Aphanothecaceae,Euhalothece natronophila Z-M001,,Cyanobacteria/Melainabacteria group,,,,,,,,,,,,Oscillatoriophycideae,,
315749,cellular organisms,Bacteria,Bacillus,Bacillus cytotoxicus,Bacillales,Firmicutes,Bacilli,Bacillaceae,Bacillus cytotoxicus NVH 391-98,,Terrabacteria group,,,,Bacillus cereus group,,,,,,,,,,
580165,cellular organisms,Bacteria,Bacillus,Bacillus cytotoxicus,Bacillales,Firmicutes,Bacilli,Bacillaceae,,,Terrabacteria group,,,,Bacillus cereus group,,,,,,,,,,
582702,cellular organisms,Bacteria,Rhodanobacter,Rhodanobacter glycinis,Xanthomonadales,Proteobacteria,Gammaproteobacteria,Rhodanobacteraceae,,,,,,,,,,,,,,,,,
583358,cellular organisms,Bacteria,Thermoanaerobacter,Thermoanaerobacter mathranii,Thermoanaerobacterales,Firmicutes,Clostridia,Thermoanaerobacteraceae,Thermoanaerobacter mathranii subsp. mathranii str. A3,,Terrabacteria group,,,Thermoanaerobacter mathranii subsp. mathranii,,,,,,,,,,,
584609,cellular organisms,Bacteria,Tenacibaculum,Tenacibaculum jejuense,Flavobacteriales,Bacteroidetes,Flavobacteriia,Flavobacteriaceae,,,FCB group,,,,,,,,,,,,,,
585423,unclassified Synechococcus,Bacteria,Synechococcus,Synechococcus sp. KORDI-49,Synechococcales,Cyanobacteria,,Synechococcaceae,,,Cyanobacteria/Melainabacteria group,,,,,,,,,,,,,,
585425,unclassified Synechococcus,Bacteria,Synechococcus,Synechococcus sp. KORDI-52,Synechococcales,Cyanobacteria,,Synechococcaceae,,,Cyanobacteria/Melainabacteria group,,,,,,,,,,,,,,
585455,Chromatiales incertae sedis,Bacteria,Thiohalobacter,Thiohalobacter thiocyanaticus,Chromatiales,Proteobacteria,Gammaproteobacteria,,,,,,,,,,,,,,,,,,
587753,cellular organisms,Bacteria,Pseudomonas,Pseudomonas chlororaphis,Pseudomonadales,Proteobacteria,Gammaproteobacteria,Pseudomonadaceae,,,,,,,Pseudomonas chlororaphis group,,,,,,,,,,
86192,cellular organisms,Bacteria,Pseudomonas,Pseudomonas chlororaphis,Pseudomonadales,Proteobacteria,Gammaproteobacteria,Pseudomonadaceae,,,,,,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis group,,,,,,,,,,
1513890,cellular organisms,Bacteria,Pseudomonas,Pseudomonas chlororaphis,Pseudomonadales,Proteobacteria,Gammaproteobacteria,Pseudomonadaceae,,,,,,Pseudomonas chlororaphis subsp. piscium,Pseudomonas chlororaphis group,,,,,,,,,,
587851,cellular organisms,Bacteria,Pseudomonas,Pseudomonas chlororaphis,Pseudomonadales,Proteobacteria,Gammaproteobacteria,Pseudomonadaceae,,,,,,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis group,,,,,,,,,,
333,cellular organisms,Bacteria,Pseudomonas,Pseudomonas chlororaphis,Pseudomonadales,Proteobacteria,Gammaproteobacteria,Pseudomonadaceae,,,,,,Pseudomonas chlororaphis subsp. chlororaphis,Pseudomonas chlororaphis group,,,,,,,,,,
588932,cellular organisms,Bacteria,Brevundimonas,Brevundimonas naejangsanensis,Caulobacterales,Proteobacteria,Alphaproteobacteria,Caulobacteraceae,,,,,,,,,,,,,,,,,
1236517,cellular organisms,Bacteria,Prevotella,Prevotella fusca,Bacteroidales,Bacteroidetes,Bacteroidia,Prevotellaceae,Prevotella fusca JCM 17724,,FCB group,,,,,,,,,,,,,,
589873,cellular organisms,Bacteria,Alteromonas,Alteromonas australica,Alteromonadales,Proteobacteria,Gammaproteobacteria,Alteromonadaceae,,,,,,,,,,,,,,,,,
1156937,cellular organisms,Bacteria,Methylacidiphilum,Methylacidiphilum fumariolicum,Methylacidiphilales,Verrucomicrobia,Methylacidiphilae,Methylacidiphilaceae,Methylacidiphilum fumariolicum SolV,,PVC group,,,,,,,,,,,,,,
945713,cellular organisms,Bacteria,Ignavibacterium,Ignavibacterium album,Ignavibacteriales,Ignavibacteriae,Ignavibacteria,Ignavibacteriaceae,Ignavibacterium album JCM 16511,,FCB group,,,,,,,,,,,,,,
592316,unclassified Pantoea,Bacteria,Pantoea,Pantoea sp. At-9b,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,,,,,,,,,,,,,,,,
536019,cellular organisms,Bacteria,Mesorhizobium,Mesorhizobium opportunistum,Rhizobiales,Proteobacteria,Alphaproteobacteria,Phyllobacteriaceae,Mesorhizobium opportunistum WSM2075,,,,,,,,,,,,,,,,
594679,cellular organisms,Bacteria,Allofrancisella,Allofrancisella guangzhouensis,Thiotrichales,Proteobacteria,Gammaproteobacteria,Francisellaceae,,,,,,,,,,,,,,,,,
1032238,Arcobacter group,Bacteria,Malaciobacter,Arcobacter mytili,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Arcobacter mytili LMG 24559,,,delta/epsilon subdivisions,,,,,,,,,,,,,
607711,cellular organisms,Bacteria,Neisseria,Neisseria wadsworthii,Neisseriales,Proteobacteria,Betaproteobacteria,Neisseriaceae,,,,,,,,,,,,,,,,,
607712,cellular organisms,Bacteria,Neisseria,Neisseria shayeganii,Neisseriales,Proteobacteria,Betaproteobacteria,Neisseriaceae,,,,,,,,,,,,,,,,,
616991,cellular organisms,Bacteria,Arenibacter,Arenibacter algicola,Flavobacteriales,Bacteroidetes,Flavobacteriia,Flavobacteriaceae,,,FCB group,,,,,,,,,,,,,,
617123,cellular organisms,Bacteria,Lachnoanaerobaculum,Lachnoanaerobaculum umeaense,Clostridiales,Firmicutes,Clostridia,Lachnospiraceae,,,Terrabacteria group,,,,,,,,,,,,,,
621376,cellular organisms,Bacteria,Pseudoalteromonas,Pseudoalteromonas donghaensis,Alteromonadales,Proteobacteria,Gammaproteobacteria,Pseudoalteromonadaceae,,,,,,,,,,,,,,,,,
622488,cellular organisms,Bacteria,Francisella,Francisella hispaniensis,Thiotrichales,Proteobacteria,Gammaproteobacteria,Francisellaceae,,,,,,,,,,,,,,,,,
1088883,cellular organisms,Bacteria,Francisella,Francisella hispaniensis,Thiotrichales,Proteobacteria,Gammaproteobacteria,Francisellaceae,Francisella hispaniensis FSC454,,,,,,,,,,,,,,,,
331104,unclassified Blattabacterium,Bacteria,Blattabacterium,Blattabacterium sp. (Blattella germanica),Flavobacteriales,Bacteroidetes,Flavobacteriia,Blattabacteriaceae,Blattabacterium sp. (Blattella germanica) str. Bge,,FCB group,,,,,,,,,,,,,,
624315,cellular organisms,Bacteria,Phytohabitans,Phytohabitans suffuscus,Micromonosporales,Actinobacteria,Actinobacteria,Micromonosporaceae,,,Terrabacteria group,,,,,,,,,,,,,,
626774,cellular organisms,Bacteria,Proteus,Proteus cibarius,Enterobacterales,Proteobacteria,Gammaproteobacteria,Morganellaceae,,,,,,,,,,,,,,,,,
626932,cellular organisms,Bacteria,Alistipes,Alistipes indistinctus,Bacteroidales,Bacteroidetes,Bacteroidia,Rikenellaceae,,,FCB group,,,,,,,,,,,,,,
626937,cellular organisms,Bacteria,Christensenella,Christensenella minuta,Clostridiales,Firmicutes,Clostridia,Christensenellaceae,,,Terrabacteria group,,,,,,,,,,,,,,
627192,unclassified Sphingobium,Bacteria,Sphingobium,Sphingobium sp. SYK-6,Sphingomonadales,Proteobacteria,Alphaproteobacteria,Sphingomonadaceae,,,,,,,,,,,,,,,,,
631220,unclassified Desulfovibrio,Bacteria,Desulfovibrio,Desulfovibrio sp. G11,Desulfovibrionales,Proteobacteria,Deltaproteobacteria,Desulfovibrionaceae,,,,delta/epsilon subdivisions,,,,,,,,,,,,,
632773,cellular organisms,Bacteria,Bacillus,Bacillus beveridgei,Bacillales,Firmicutes,Bacilli,Bacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
633807,cellular organisms,Bacteria,Vagococcus,Vagococcus penaei,Lactobacillales,Firmicutes,Bacilli,Enterococcaceae,,,Terrabacteria group,,,,,,,,,,,,,,
634113,cellular organisms,Bacteria,Arsenophonus,Candidatus Arsenophonus lipoptenae,Enterobacterales,Proteobacteria,Gammaproteobacteria,Morganellaceae,,,,,,,,,,,,,,,,,
637971,cellular organisms,Bacteria,Levilactobacillus,Lactobacillus koreensis,Lactobacillales,Firmicutes,Bacilli,Lactobacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1437605,cellular organisms,Bacteria,Bifidobacterium,Bifidobacterium actinocoloniiforme,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium actinocoloniiforme DSM 22766,,Terrabacteria group,,,,,,,,,,,,,,
639310,cellular organisms,Bacteria,Olleya,Olleya aquimaris,Flavobacteriales,Bacteroidetes,Flavobacteriia,Flavobacteriaceae,,,FCB group,,,,,,,,,,,,,,
443218,cellular organisms,Bacteria,Hoyosella,Hoyosella subflava,Corynebacteriales,Actinobacteria,Actinobacteria,Mycobacteriaceae,Hoyosella subflava DQS3-9A1,,Terrabacteria group,,,,,,,,,,,,,,
640030,cellular organisms,Bacteria,Neisseria,Neisseria zalophi,Neisseriales,Proteobacteria,Betaproteobacteria,Neisseriaceae,,,,,,,,,,,,,,,,,
640511,unclassified Paraburkholderia,Bacteria,Paraburkholderia,Paraburkholderia sp. CCGE1002,Burkholderiales,Proteobacteria,Betaproteobacteria,Burkholderiaceae,,,,,,,,,,,,,,,,,
640512,unclassified Burkholderia,Bacteria,Burkholderia,Burkholderia sp. CCGE1003,Burkholderiales,Proteobacteria,Betaproteobacteria,Burkholderiaceae,,,,,,,,,,,,,,,,,
643214,cellular organisms,Bacteria,Staphylococcus,Staphylococcus stepanovicii,Bacillales,Firmicutes,Bacilli,Staphylococcaceae,,,Terrabacteria group,,,,,,,,,,,,,,
643674,cellular organisms,Bacteria,Paenalcaligenes,Paenalcaligenes hominis,Burkholderiales,Proteobacteria,Betaproteobacteria,Alcaligenaceae,,,,,,,,,,,,,,,,,
645517,cellular organisms,Bacteria,Altererythrobacter,Altererythrobacter namhicola,Sphingomonadales,Proteobacteria,Alphaproteobacteria,Erythrobacteraceae,,,,,,,,,,,,,,,,,
646637,unclassified Streptomyces,Bacteria,Streptomyces,Streptomyces sp. M2,Streptomycetales,Actinobacteria,Actinobacteria,Streptomycetaceae,,,Terrabacteria group,,,,,,,,,,,,,,
648995,Rhizobium/Agrobacterium group,Bacteria,Rhizobium,Rhizobium pusense,Rhizobiales,Proteobacteria,Alphaproteobacteria,Rhizobiaceae,,,,,,,,,,,,,,,,,
649196,cellular organisms,Bacteria,Sphingobacterium,Sphingobacterium hotanense,Sphingobacteriales,Bacteroidetes,Sphingobacteriia,Sphingobacteriaceae,,,FCB group,,,,,,,,,,,,,,
649756,cellular organisms,Bacteria,Anaerostipes,Anaerostipes hadrus,Clostridiales,Firmicutes,Clostridia,Lachnospiraceae,,,Terrabacteria group,,,,,,,,,,,,,,
649831,unclassified Actinoplanes,Bacteria,Actinoplanes,Actinoplanes sp. N902-109,Micromonosporales,Actinobacteria,Actinobacteria,Micromonosporaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1163617,cellular organisms,Bacteria,Sulfuricella,Sulfuricella denitrificans,Nitrosomonadales,Proteobacteria,Betaproteobacteria,Sulfuricellaceae,Sulfuricella denitrificans skB26,,,,,,,,,,,,,,,,
650377,cellular organisms,Bacteria,,endosymbiont of Euscepes postfasciatus,,Proteobacteria,Gammaproteobacteria,,,,,,,,,,,,,,,,,,
650378,unclassified Candidatus Cardinium,Bacteria,Candidatus Cardinium,Cardinium endosymbiont of Sogatella furcifera,Cytophagales,Bacteroidetes,Cytophagia,Amoebophilaceae,,,FCB group,,,,,,,,,,,,,,
521045,cellular organisms,Bacteria,Kosmotoga,Kosmotoga olearia,Kosmotogales,Thermotogae,Thermotogae,Kosmotogaceae,Kosmotoga olearia TBF 19.5.1,,,,,,,,,,,,,,,,
651561,cellular organisms,Bacteria,Chryseobacterium,Chryseobacterium arthrosphaerae,Flavobacteriales,Bacteroidetes,Flavobacteriia,Weeksellaceae,,,FCB group,,,,,,,,,,,,,,
575614,unclassified Prevotella,Bacteria,Prevotella,Prevotella sp. oral taxon 299,Bacteroidales,Bacteroidetes,Bacteroidia,Prevotellaceae,Prevotella sp. oral taxon 299 str. F0039,,FCB group,,,,,,,,,,,,,,
652764,unclassified Azospirillum,Bacteria,Azospirillum,Azospirillum sp. TSH100,Rhodospirillales,Proteobacteria,Alphaproteobacteria,Rhodospirillaceae,,,,,,,,,,,,,,,,,
653931,cellular organisms,Bacteria,Sphingomonas,Sphingomonas alpina,Sphingomonadales,Proteobacteria,Alphaproteobacteria,Sphingomonadaceae,,,,,,,,,,,,,,,,,
653940,cellular organisms,Bacteria,Basfia,Basfia succiniciproducens,Pasteurellales,Proteobacteria,Gammaproteobacteria,Pasteurellaceae,,,,,,,,,,,,,,,,,
655015,cellular organisms,Bacteria,Methylocystis,Methylocystis bryophila,Rhizobiales,Proteobacteria,Alphaproteobacteria,Methylocystaceae,,,,,,,,,,,,,,,,,
655307,unclassified Neisseria,Bacteria,Neisseria,Neisseria sp. KEM232,Neisseriales,Proteobacteria,Betaproteobacteria,Neisseriaceae,,,,,,,,,,,,,,,,,
656178,cellular organisms,Bacteria,Pandoraea,Pandoraea vervacti,Burkholderiales,Proteobacteria,Betaproteobacteria,Burkholderiaceae,,,,,,,,,,,,,,,,,
656179,cellular organisms,Bacteria,Pandoraea,Pandoraea faecigallinarum,Burkholderiales,Proteobacteria,Betaproteobacteria,Burkholderiaceae,,,,,,,,,,,,,,,,,
656366,cellular organisms,Bacteria,Arthrobacter,Arthrobacter alpinus,Micrococcales,Actinobacteria,Actinobacteria,Micrococcaceae,,,Terrabacteria group,,,,,,,,,,,,,,
656519,cellular organisms,Bacteria,Halanaerobium,Halanaerobium hydrogeniformans,Halanaerobiales,Firmicutes,Clostridia,Halanaerobiaceae,,,Terrabacteria group,,,,,,,,,,,,,,
657387,unclassified Kushneria,Bacteria,Kushneria,Kushneria sp. YCWA18,Oceanospirillales,Proteobacteria,Gammaproteobacteria,Halomonadaceae,,,,,,,,,,,,,,,,,
204669,cellular organisms,Bacteria,Candidatus Koribacter,Candidatus Koribacter versatilis,Acidobacteriales,Acidobacteria,Acidobacteriia,Acidobacteriaceae,,,,,,,,,,,,,,,,Candidatus Koribacter versatilis Ellin345,
658629,unclassified Pseudomonas,Bacteria,Pseudomonas,Pseudomonas sp. CMR12a,Pseudomonadales,Proteobacteria,Gammaproteobacteria,Pseudomonadaceae,,,,,,,,,,,,,,,,,
658630,unclassified Pseudomonas,Bacteria,Pseudomonas,Pseudomonas sp. CMR5c,Pseudomonadales,Proteobacteria,Gammaproteobacteria,Pseudomonadaceae,,,,,,,,,,,,,,,,,
658632,unclassified Pseudomonas,Bacteria,Pseudomonas,Pseudomonas sp. R11-23-07,Pseudomonadales,Proteobacteria,Gammaproteobacteria,Pseudomonadaceae,,,,,,,,,,,,,,,,,
658643,unclassified Pseudomonas,Bacteria,Pseudomonas,Pseudomonas sp. R4-35-07,Pseudomonadales,Proteobacteria,Gammaproteobacteria,Pseudomonadaceae,,,,,,,,,,,,,,,,,
658644,unclassified Pseudomonas,Bacteria,Pseudomonas,Pseudomonas sp. R5-89-07,Pseudomonadales,Proteobacteria,Gammaproteobacteria,Pseudomonadaceae,,,,,,,,,,,,,,,,,
659243,cellular organisms,Bacteria,Bacillus,Bacillus siamensis,Bacillales,Firmicutes,Bacilli,Bacillaceae,,,Terrabacteria group,,,,Bacillus subtilis group,Bacillus amyloliquefaciens group,,,,,,,,,
661191,cellular organisms,Bacteria,Neokomagataea,Neokomagataea tanensis,Rhodospirillales,Proteobacteria,Alphaproteobacteria,Acetobacteraceae,,,,,,,,,,,,,,,,,
661481,cellular organisms,Bacteria,Flavisolibacter,Flavisolibacter ginsenosidimutans,Chitinophagales,Bacteroidetes,Chitinophagia,Chitinophagaceae,,,FCB group,,,,,,,,,,,,,,
661488,cellular organisms,Bacteria,Pseudobacter,Pseudobacter ginsenosidimutans,Chitinophagales,Bacteroidetes,Chitinophagia,Chitinophagaceae,,,FCB group,,,,,,,,,,,,,,
662548,unclassified Variovorax,Bacteria,Variovorax,Variovorax sp. RA8,Burkholderiales,Proteobacteria,Betaproteobacteria,Comamonadaceae,,,,,,,,,,,,,,,,,
663364,Arcobacter group,Bacteria,Halarcobacter,Halarcobacter bivalviorum,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,,,,delta/epsilon subdivisions,,,,,,,,,,,,,
664426,unclassified Sulfitobacter,Bacteria,Sulfitobacter,Sulfitobacter sp. BSw21498,Rhodobacterales,Proteobacteria,Alphaproteobacteria,Rhodobacteraceae,,,,,,,,,,,,,,,,,
290434,cellular organisms,Bacteria,Borreliella,Borreliella bavariensis,Spirochaetales,Spirochaetes,Spirochaetia,Borreliaceae,Borreliella bavariensis PBi,,,,,,,,,,,,,,,,
664683,cellular organisms,Bacteria,Halomonas,Halomonas titanicae,Oceanospirillales,Proteobacteria,Gammaproteobacteria,Halomonadaceae,,,,,,,,,,,,,,,,,
664962,unclassified Azospirillum,Bacteria,Azospirillum,Azospirillum sp. TSH58,Rhodospirillales,Proteobacteria,Alphaproteobacteria,Rhodospirillaceae,,,,,,,,,,,,,,,,,
1196031,cellular organisms,Bacteria,Cytobacillus,Cytobacillus oceanisediminis,Bacillales,Firmicutes,Bacilli,Bacillaceae,Bacillus oceanisediminis 2691,,Terrabacteria group,,,,,,,,,,,,,,
665913,cellular organisms,Bacteria,Mixta,Mixta calida,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,,,,,,,,,,,,,,,,
665914,cellular organisms,Bacteria,Mixta,Mixta gaviniae,Enterobacterales,Proteobacteria,Gammaproteobacteria,Erwiniaceae,,,,,,,,,,,,,,,,,
666685,cellular organisms,Bacteria,Rhodanobacter,Rhodanobacter denitrificans,Xanthomonadales,Proteobacteria,Gammaproteobacteria,Rhodanobacteraceae,,,,,,,,,,,,,,,,,
666686,unclassified Bacillus,Bacteria,Bacillus,Bacillus sp. 1NLA3E,Bacillales,Firmicutes,Bacilli,Bacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
669041,cellular organisms,Bacteria,Tenacibaculum,Tenacibaculum dicentrarchi,Flavobacteriales,Bacteroidetes,Flavobacteriia,Flavobacteriaceae,,,FCB group,,,,,,,,,,,,,,
669502,cellular organisms,Bacteria,Candidatus Profftella,Candidatus Profftella armatura,,Proteobacteria,Betaproteobacteria,,,,,,,,,,,,,,,,,,
670052,cellular organisms,Bacteria,Cryobacterium,Cryobacterium arcticum,Micrococcales,Actinobacteria,Actinobacteria,Microbacteriaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1133592,Flavobacteriales incertae sedis,Bacteria,,Candidatus Uzinura diaspidicola,Flavobacteriales,Bacteroidetes,Flavobacteriia,,Candidatus Uzinura diaspidicola str. ASNER,,FCB group,,,,,,,,,,,,,,
671990,unclassified Serratia,Bacteria,Serratia,Serratia sp. FGI94,Enterobacterales,Proteobacteria,Gammaproteobacteria,Yersiniaceae,,,,,,,,,,,,,,,,,
673372,cellular organisms,Bacteria,Vibrio,Vibrio casei,Vibrionales,Proteobacteria,Gammaproteobacteria,Vibrionaceae,,,,,,,,,,,,,,,,,
673862,cellular organisms,Bacteria,Candidatus Babela,Candidatus Babela massiliensis,Candidatus Babeliales,,Candidatus Babeliae,Candidatus Babeliaceae,,,Bacteria candidate phyla,,,,,,,,,,,,,,
674079,cellular organisms,Bacteria,Marisediminicola,Marisediminicola antarctica,Micrococcales,Actinobacteria,Actinobacteria,Microbacteriaceae,,,Terrabacteria group,,,,,,,,,,,,,,
674703,unclassified Rhodoplanes,Bacteria,Rhodoplanes,Rhodoplanes sp. Z2-YC6860,Rhizobiales,Proteobacteria,Alphaproteobacteria,Hyphomicrobiaceae,,,,,,,,,,,,,,,,,
676208,cellular organisms,Bacteria,Rickettsiella,Candidatus Rickettsiella viridis,Legionellales,Proteobacteria,Gammaproteobacteria,Coxiellaceae,,,,,,,,,,,,,,,,,
676210,unclassified Pseudomonas,Bacteria,Pseudomonas,Pseudomonas sp. ATCC 43928,Pseudomonadales,Proteobacteria,Gammaproteobacteria,Pseudomonadaceae,,,,,,,,,,,,,,,,,
679318,unclassified Rhodococcus,Bacteria,Rhodococcus,Rhodococcus sp. WMMA185,Corynebacteriales,Actinobacteria,Actinobacteria,Nocardiaceae,,,Terrabacteria group,,,,,,,,,,,,,,
680279,cellular organisms,Bacteria,Agarivorans,Agarivorans gilvus,Alteromonadales,Proteobacteria,Gammaproteobacteria,Alteromonadaceae,,,,,,,,,,,,,,,,,
681157,unclassified Phaeobacter,Bacteria,Phaeobacter,Phaeobacter sp. LSS9,Rhodobacterales,Proteobacteria,Alphaproteobacteria,Rhodobacteraceae,,,,,,,,,,,,,,,,,
682798,cellular organisms,Bacteria,Chitinolyticbacter,Chitinolyticbacter meiyuanensis,Neisseriales,Proteobacteria,Betaproteobacteria,Neisseriaceae,,,,,,,,,,,,,,,,,
682956,cellular organisms,Bacteria,Paenibacillus,Paenibacillus jilunlii,Bacillales,Firmicutes,Bacilli,Paenibacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
682998,cellular organisms,Bacteria,Azospirillum,Azospirillum ramasamyi,Rhodospirillales,Proteobacteria,Alphaproteobacteria,Rhodospirillaceae,,,,,,,,,,,,,,,,,
683124,cellular organisms,Bacteria,Flavobacterium,Flavobacterium haoranii,Flavobacteriales,Bacteroidetes,Flavobacteriia,Flavobacteriaceae,,,FCB group,,,,,,,,,,,,,,
685565,unclassified Pseudanabaena,Bacteria,Pseudanabaena,Pseudanabaena sp. ABRG5-3,Synechococcales,Cyanobacteria,,Pseudanabaenaceae,,,Cyanobacteria/Melainabacteria group,,,,,,,,,,,,,,
686597,unclassified Martelella,Bacteria,Martelella,Martelella sp. AD-3,Rhizobiales,Proteobacteria,Alphaproteobacteria,Aurantimonadaceae,,,,,,,,,,,,,,,,,
691437,unclassified Geobacillus,Bacteria,Geobacillus,Geobacillus sp. C56-T3,Bacillales,Firmicutes,Bacilli,Bacillaceae,,,Terrabacteria group,,,,,,,,,,,,,,
692036,cellular organisms,Bacteria,Tuwongella,Tuwongella immobilis,Gemmatales,Planctomycetes,Planctomycetia,Gemmataceae,,,PVC group,,,,,,,,,,,,,,
692370,cellular organisms,Bacteria,Altererythrobacter,Altererythrobacter dongtanensis,Sphingomonadales,Proteobacteria,Alphaproteobacteria,Erythrobacteraceae,,,,,,,,,,,,,,,,,
511051,cellular organisms,Bacteria,Caldisericum,Caldisericum exile,Caldisericales,Caldiserica,Caldisericia,Caldisericaceae,Caldisericum exile AZM16c01,,Caldiserica/Cryosericota group,,,,,,,,,,,,,,
693153,cellular organisms,Bacteria,Vibrio,Vibrio atlanticus,Vibrionales,Proteobacteria,Gammaproteobacteria,Vibrionaceae,,,,,,,,,,,,,,,,,
693444,cellular organisms,Bacteria,,Enterobacteriaceae bacterium strain FGI 57,Enterobacterales,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,,,,,,,,,,,,,,,,,
696485,cellular organisms,Bacteria,Vibrio,Vibrio owensii,Vibrionales,Proteobacteria,Gammaproteobacteria,Vibrionaceae,,,,,,,Vibrio harveyi group,,,,,,,,,,
698828,cellular organisms,Bacteria,Kushneria,Kushneria konosiri,Oceanospirillales,Proteobacteria,Gammaproteobacteria,Halomonadaceae,,,,,,,,,,,,,,,,,
701042,cellular organisms,Bacteria,Mycobacterium,Mycobacterium marseillense,Corynebacteriales,Actinobacteria,Actinobacteria,Mycobacteriaceae,,,Terrabacteria group,,,,Mycobacterium avium complex (MAC),,,,,,,,,,
702113,unclassified Novosphingobium,Bacteria,Novosphingobium,Novosphingobium sp. PP1Y,Sphingomonadales,Proteobacteria,Alphaproteobacteria,Sphingomonadaceae,,,,,,,,,,,,,,,,,
702114,cellular organisms,Bacteria,Methylomonas,Methylomonas koyamae,Methylococcales,Proteobacteria,Gammaproteobacteria,Methylococcaceae,,,,,,,,,,,,,,,,,
702745,cellular organisms,Bacteria,Myroides,Myroides phaeus,Flavobacteriales,Bacteroidetes,Flavobacteriia,Flavobacteriaceae,,,FCB group,,,,,,,,,,,,,,
702967,unclassified Corynebacterium,Bacteria,Corynebacterium,Corynebacterium sp. NML98-0116,Corynebacteriales,Actinobacteria,Actinobacteria,Corynebacteriaceae,,,Terrabacteria group,,,,,,,,,,,,,,
706439,unclassified Actinomyces,Bacteria,Actinomyces,Actinomyces sp. oral taxon 171,Actinomycetales,Actinobacteria,Actinobacteria,Actinomycetaceae,Actinomyces sp. oral taxon 171 str. F0337,,Terrabacteria group,,,,,,,,,,,,,,
708126,cellular organisms,Bacteria,Jeotgalibaca,Jeotgalibaca dankookensis,Lactobacillales,Firmicutes,Bacilli,Carnobacteriaceae,,,Terrabacteria group,,,,,,,,,,,,,,
708131,cellular organisms,Bacteria,Aurantimicrobium,Aurantimicrobium minutum,Micrococcales,Actinobacteria,Actinobacteria,Microbacteriaceae,,,Terrabacteria group,,,,,,,,,,,,,,
1032241,Arcobacter group,Bacteria,Arcobacter,Arcobacter trophiarum,Campylobacterales,Proteobacteria,Epsilonproteobacteria,Campylobacteraceae,Arcobacter trophiarum LMG 25534,,,delta/epsilon subdivisions,,,,,,,,,,,,,
709810,unclassified Azospirillum,Bacteria,Azospirillum,Azospirillum sp. TSA2s,Rhodospirillales,Proteobacteria,Alphaproteobacteria,Rhodospirillaceae,,,,,,,,,,,,,,,,,
712122,unclassified Actinomyces,Bacteria,Actinomyces,Actinomyces sp. oral taxon 414,Actinomycetales,Actinobacteria,Actinobacteria,Actinomycetaceae,,,Terrabacteria group,,,,,,,,,,,,,,
712270,unclassified Dietzia,Bacteria,Dietzia,Dietzia sp. oral taxon 368,Corynebacteriales,Actinobacteria,Actinobacteria,Dietziaceae,,,Terrabacteria group,,,,,,,,,,,,,,
712310,unclassified Haemophilus,Bacteria,Haemophilus,Haemophilus sp. oral taxon 036,Pasteurellales,Proteobacteria,Gammaproteobacteria,Pasteurellaceae,,,,,,,,,,,,,,,,,
712357,unclassified Leptotrichia,Bacteria,Leptotrichia,Leptotrichia sp. oral taxon 212,Fusobacteriales,Fusobacteria,Fusobacteriia,Leptotrichiaceae,,,,,,,,,,,,,,,,,
